"Year","production_Cattle","production_Goats","production_Horses","production_Pigs","production_Sheep","doses","doses_dispersion","trade_cattle","trade_goats","trade_pigs","trade_sheep","trade_horses","cases_A","cases_O"
1961,144273652,18655245,12231892,38296668,117770156,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,146876252,18916453,12072125,37933537,116188552,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963,146156904,19531088,12112003,38820329,115267578,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,150950602,19503888,12254550,39923109,115885379,NA,NA,NA,NA,NA,NA,NA,NA,NA
1965,157663259,19665095,12303322,40844509,118891981,NA,NA,NA,NA,NA,NA,NA,NA,NA
1966,163031732,19820407,12428456,41795809,119793416,NA,NA,NA,NA,NA,NA,NA,NA,NA
1967,169291451,17790000,12520742,42613920,119504224,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,172860023,17938885,12582275,42467678,117911353,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,173619311,18173200,11885473,43880081,119002156,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,177130182,18350362,12438257,45109074,114715215,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,182947302,18576473,12455952,46571018,110594644,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,191426880,19132104,12588075,46967192,105234700,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,197923771,19630917,12821024,48707205,105555909,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,205759487,19618569,13022826,49664420,99787140,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,211552099,18983821,13300576,51261356,100785680,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,222556172,19242915,13169960,51636565,101340177,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977,232155758,18662300,12580411,50761221,101627068,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978,229646793,18594250,12315140,50175852,98921380,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,231668741,18864737,12604455,52852303,99646666,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,241811898,17998535,12773641,51902856,102340862,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,244462230,18519911,13049400,50228014,104509443,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,245363689,18723352,12996610,51575641,102049838,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983,246342914,18291777,13045370,50498754,99492220,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,249534469,19014928,13259046,51350059,96484100,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985,250410936,19337913,13522486,50329358,99381472,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,253345604,20151001,13703815,50926328,101263776,1.31777777777778,0.671988862945299,27894,0,7487,84720,4258,NA,NA
1987,257300661,20602373,13871907,50951297,103031574,1.39333333333333,0.890776495123255,19642,0,5634,14059,3712,NA,NA
1988,264107434,21269833,13983447,51392402,104192749,1.44333333333333,0.92034156517135,6028,0,113,55641,1606,NA,NA
1989,269118793,21644420,14503286,51697186,104311385,1.17,0.81534087366437,120078,36,153345,35437,4584,NA,NA
1990,271546026,22043000,14608167,51210188,101863714,1.5025,0.95981558098121,194729,29,13509,69707,3711,444,218
1991,276397586,22608763,14736297,52277964,101313558,NA,NA,184382,86,932,23570,9707,214,168
1992,280777685,22804310,14856523,53054859,98536615,1.03375,0.608811823205711,235051,248,3668,31663,6891,236,468
1993,283177986,21654734,14970658,53361231,87748309,1.0325,0.540304075349616,84382,384,1767,113385,6054,228,345
1994,288857847,22235870,15176450,55385478,85132397,0.992222222222222,0.445011297745252,391652,62,25618,183166,5831,198,743
1995,292721798,21592365,15324973,55383281,82969099,0.945,0.487909717330699,413958,0,7640,96113,11973,200,280
1996,289272607,17633591,14654037,48489861,78052597,NA,NA,169943,50,7561,147020,2795,121,68
1997,291899780,18381101,14892691,48953408,75206109,1.0375,0.478001600608889,17861296,238,3249,334018,20992,61,78
1998,291755184,18589958,14932080,49195332,73951509,1.1,0.41664671644427,2303863,0,10102,134119,6809,49,165
1999,293471215,19174971,15263841,46968269,73876640,1.065,0.552497161769569,67934,20,5662,140058,2717,49,81
2000,298614095,20019020,15197877,48130747,72016595,0.91625,1.11398415344096,90992,0,3808,206765,2842,198,70
2001,305881600,20145735,15499040,49873256,71165045,1.52375,0.456333480531191,13932,76,2325,49539,2571,4291,27
2002,319213219,20567676,15163122,48909769,67226828,2.03111111111111,0.388794174873912,38528,150,2250,3800,2063,15,121
2003,335013932,20980137,15262715,49100852,68563732,1.7375,0.579690454893138,2823,40,1995,10703,1177,55,40
2004,345379953,21544112,15211913,49936290,70239405,1.64625,0.291870611425049,256146,33,2253,1132,2144,31,68
2005,349721987,21889685,15166675,51630772,72053155,1.69857142857143,0.28084610665336,138771,78,2519,6493,2688,11,59
2006,350942397,22043775,14984962,55015945,72909310,1.57,0.582334665932921,248051,115,1899,1145,2043,25,26
2007,346335849,21181775,14845326,56704434,72940436,1.75428571428571,0.486075356159726,389947,17,2765,37379,1039,33,32
2008,348831259,21161642,14728182,57782527,72310958,2.575,1.56601475107491,318217,48,3150,13579,1764,3,17
2009,349826242,21073031,14744094,59399819,70697681,1.71166666666667,0.192526874258985,426743,580,16097,34980,2052,0,110
2010,346852922,20998676,14323791,62202697,70184755,1.89857142857143,0.275981811063895,872347,0,17878,5849,2202,0,42
2011,347630316,21266642,14143366,63550610,69692086,NA,NA,354204,20,19835,6414,3968,NA,NA
2012,349722038,20282391,12995911,63417881,67405661,NA,NA,654889,0,15066,14119,1555,NA,NA
2013,350198008,20495515,12800017,62255057,67669036,NA,NA,727245,14,11785,1834,1608,NA,NA
2014,351659025,20416371,12904408,64116308,65087760,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,353453695,21525204,11787930,66222399,63872383,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,357426148,21463959,12084627,64908747,63274594,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,354679050,21316509,12195299,66370417,62739365,NA,NA,NA,NA,NA,NA,NA,NA,NA
