"from","to","cattleTrade_1986.1995","cattleTrade_1995.2004","cattleTrade_2004.2013","sheepTrade_1986.1995","sheepTrade_1995.2004","sheepTrade_2004.2013","pigsTrade_1986.1995","pigsTrade_1995.2004","pigsTrade_2004.2013","geodistance","borders"
"Argentina","Argentina",0,0,0,0,0,0,0,0,0,0,0
"Argentina","Bolivia",71256,64078,960,815,151,0,97,1656,300,2056.02752105864,1
"Argentina","Brazil",135072,21423,377,1029,0,226,26,0,0,2970.62008811255,0
"Argentina","Chile",0,222,0,9558,14535,4580,0,0,0,549.236062178285,0
"Argentina","Colombia",0,0,305,0,0,0,0,0,0,4428.06221883752,0
"Argentina","Ecuador",0,0,0,0,0,0,0,0,0,3999.3326249303,0
"Argentina","Paraguay",580001,18919877,6993,1360,2,1249,0,0,0,1481.30586680423,1
"Argentina","Peru",2223,200,0,130,0,0,0,0,0,3042.91337969977,0
"Argentina","Uruguay",1781,0,60,323,205,31,29,1436,152,886.025785928525,1
"Argentina","Venezuela",0,0,6207,0,0,0,0,0,0,4709.22119899415,0
"Bolivia","Argentina",0,0,0,0,0,0,0,0,0,2056.02752105864,1
"Bolivia","Bolivia",0,0,0,0,0,0,0,0,0,0,0
"Bolivia","Brazil",327601,13323,0,0,0,0,0,0,0,1406.69570016608,0
"Bolivia","Chile",0,0,0,0,0,0,0,0,0,2150.12404536596,0
"Bolivia","Colombia",0,0,0,0,0,0,0,0,0,2474.21126193179,0
"Bolivia","Ecuador",0,180,0,0,0,0,0,0,0,2272.50983152685,0
"Bolivia","Paraguay",0,0,0,0,0,0,0,0,0,978.129744567879,1
"Bolivia","Peru",0,1284,0,0,0,0,0,0,0,1346.81559926284,1
"Bolivia","Uruguay",0,0,0,0,0,0,0,0,0,1988.1166048493,0
"Bolivia","Venezuela",0,0,0,0,0,0,0,0,0,2657.95864060761,0
"Brazil","Argentina",3167,1074,0,0,0,0,4347,1872,12915,2970.62008811255,0
"Brazil","Bolivia",3698,10348,2374,0,137,0,104,438,3547,1406.69570016608,0
"Brazil","Brazil",0,0,0,0,0,0,0,0,0,9.50453877449036e-05,0
"Brazil","Chile",0,0,0,0,0,0,0,0,103,3263.9546339556,0
"Brazil","Colombia",607,5716,0,0,3,0,0,0,0,2751.42249501054,1
"Brazil","Ecuador",220,193,64,0,0,0,0,0,0,2984.04262936217,0
"Brazil","Paraguay",168,1167426,3053,833,14609,129,716,659,3497,1489.69662074046,0
"Brazil","Peru",6461,857,0,1211,1738,0,0,0,0,2335.42519419623,0
"Brazil","Uruguay",295,227,1,176,90,0,958,155,246,2459.62642648411,0
"Brazil","Venezuela",24,3956,3095335,0,0,0,0,0,0,2467.66256692768,1
"Chile","Argentina",4661,10050,461,226428,127420,3700,9872,12758,0,549.236062178285,0
"Chile","Bolivia",307,77,0,400,677,0,131,3569,3281,2150.12404536596,0
"Chile","Brazil",0,73,0,0,8,0,0,0,0,3263.9546339556,0
"Chile","Chile",0,0,0,0,0,0,0,0,0,0,0
"Chile","Colombia",98,0,0,0,0,9002,47,71,23,4348.83354270014,0
"Chile","Ecuador",0,0,0,0,95,4,433,4994,1818,3824.43442207705,0
"Chile","Paraguay",234,578,0,0,0,0,0,0,0,1812.53392353318,0
"Chile","Peru",510,2659,0,82,1069,910,0,0,0,2907.26314858048,0
"Chile","Uruguay",0,0,0,0,1,0,4,0,0,1425.34334919956,0
"Chile","Venezuela",0,0,0,0,0,0,0,5085,3278,4731.36564349597,0
"Colombia","Argentina",0,0,0,2458,0,0,0,0,0,4428.06221883752,0
"Colombia","Bolivia",0,0,0,0,0,0,0,0,0,2474.21126193179,0
"Colombia","Brazil",0,39,0,0,0,0,0,0,0,2751.42249501054,1
"Colombia","Chile",0,0,0,0,0,0,0,0,0,4348.83354270014,0
"Colombia","Colombia",1858,0,0,8,0,0,2159,0,0,0,0
"Colombia","Ecuador",19,114,86,200,0,0,14982,5328,2240,840.344466338468,1
"Colombia","Paraguay",0,0,0,0,0,0,0,0,0,3415.921941428,0
"Colombia","Peru",131,14,738,0,0,0,0,0,0,1462.40463082501,0
"Colombia","Uruguay",0,0,0,0,0,0,0,0,0,4461.84126189406,0
"Colombia","Venezuela",191455,426711,1012943,209,90,0,0,4303,1509,840.85503052881,1
"Ecuador","Argentina",0,0,0,0,0,0,0,0,0,3999.3326249303,0
"Ecuador","Bolivia",0,0,0,0,0,0,0,0,0,2272.50983152685,0
"Ecuador","Brazil",0,0,0,0,0,0,0,0,0,2984.04262936217,0
"Ecuador","Chile",0,0,0,0,0,0,0,0,0,3824.43442207705,0
"Ecuador","Colombia",13659,2300,0,0,0,0,0,58,0,840.344466338468,1
"Ecuador","Ecuador",0,0,0,0,0,0,0,0,0,0,0
"Ecuador","Paraguay",0,0,0,0,0,0,0,0,0,3250.23740422779,0
"Ecuador","Peru",7845,6520,0,0,0,0,0,0,0,970.593580094301,0
"Ecuador","Uruguay",0,0,0,0,0,0,0,0,0,4202.77606287468,0
"Ecuador","Venezuela",0,0,0,0,0,0,0,0,0,1657.06351856764,0
"Paraguay","Argentina",262,2066,15,0,0,0,0,0,0,1481.30586680423,1
"Paraguay","Bolivia",1235,16000,26,0,0,0,0,0,0,978.129744567879,1
"Paraguay","Brazil",199715,204840,352,0,0,0,0,0,0,1489.69662074046,0
"Paraguay","Chile",0,0,0,0,0,0,0,0,0,1812.53392353318,0
"Paraguay","Colombia",0,0,0,0,0,0,0,0,0,3415.921941428,0
"Paraguay","Ecuador",0,0,0,0,0,0,0,0,0,3250.23740422779,0
"Paraguay","Paraguay",0,0,0,0,0,0,0,0,0,0,0
"Paraguay","Peru",0,0,0,0,0,0,0,0,0,2313.14659568562,0
"Paraguay","Uruguay",23,0,0,0,0,0,0,0,0,1086.56070082819,0
"Paraguay","Venezuela",0,0,0,0,0,0,0,0,0,3484.3757151894,0
"Peru","Argentina",0,0,0,6,0,0,0,0,0,3042.91337969977,0
"Peru","Bolivia",29,13,31,230,16,492,429,99,10,1346.81559926284,1
"Peru","Brazil",0,0,0,0,0,0,0,0,0,2335.42519419623,0
"Peru","Chile",0,0,0,0,0,0,0,0,0,2907.26314858048,0
"Peru","Colombia",0,0,6,0,0,0,0,0,0,1462.40463082501,0
"Peru","Ecuador",28,0,0,0,0,0,198,1269,65690,970.593580094301,0
"Peru","Paraguay",0,0,0,0,0,0,0,0,0,2313.14659568562,0
"Peru","Peru",16,0,0,0,0,0,0,0,0,0,0
"Peru","Uruguay",0,0,0,0,0,0,0,0,0,3235.55515495335,0
"Peru","Venezuela",0,0,0,0,0,0,0,0,0,2027.07639181003,0
"Uruguay","Argentina",217600,81360,966,18129,179957,107,480,2775,783,886.025785928525,1
"Uruguay","Bolivia",1952,345,2930,466,0,0,0,0,1632,1988.1166048493,0
"Uruguay","Brazil",587712,134990,169836,355923,704219,108574,7,0,0,2459.62642648411,0
"Uruguay","Chile",0,64,0,0,0,0,0,0,0,1425.34334919956,0
"Uruguay","Colombia",0,0,0,0,0,145,0,0,0,4461.84126189406,0
"Uruguay","Ecuador",118,895,239,0,0,4124,0,0,210,4202.77606287468,0
"Uruguay","Paraguay",8618,457661,4572,6858,1514,2354,0,0,774,1086.56070082819,0
"Uruguay","Peru",242,4327,3008,11843,7,35,0,0,0,3235.55515495335,0
"Uruguay","Uruguay",0,0,331,0,0,0,0,0,0,0,0
"Uruguay","Venezuela",0,0,3292,0,0,0,0,0,0,4569.68551328267,0
"Venezuela","Argentina",0,0,0,0,0,0,0,0,0,4709.22119899415,0
"Venezuela","Bolivia",0,0,0,0,0,0,0,0,0,2657.95864060761,0
"Venezuela","Brazil",0,0,0,0,0,0,0,0,0,2467.66256692768,1
"Venezuela","Chile",0,0,0,0,0,2028,0,0,0,4731.36564349597,0
"Venezuela","Colombia",70619,38655,0,0,0,0,192078,11411,0,840.85503052881,1
"Venezuela","Ecuador",0,0,0,0,0,0,147,0,0,1657.06351856764,0
"Venezuela","Paraguay",0,0,0,0,0,0,0,0,0,3484.3757151894,0
"Venezuela","Peru",0,0,0,0,0,0,0,0,0,2027.07639181003,0
"Venezuela","Uruguay",0,0,0,0,0,0,0,0,0,4569.68551328267,0
"Venezuela","Venezuela",0,0,0,0,0,0,0,0,0,9.50453877449036e-05,0
